job_title,Industry,,,,,,Industry
16,Other,,,,,,Sales & Retail
1004,Other,,,,,,Organization Operations & Administrative
1013,Other,,,,,,Food & Beverage
2940,Other,,,,,,Technology
5784,Other,,,,,,Finance & Accounting
7802,Other,,,,,,Construction & Extraction
9063,Other,,,,,,Manufacturing & Utilities
28218,Other,,,,,,Supply Chain & Logistics
58443,Other,,,,,,Healthcare
5404994,Other,,,,,,Community & Social Services
5926071,Other,,,,,,"Marketing, Advertising & Public Relations"
"""Devops Engineer""",Technology,,,,,,Cleaning & Ground Maintenance
"""INFRASTRUCTURE TESTING"" CLIENT INFRASTRUCTURE, TEST STRATEGY",,,,,,,"Repair, Maintenance & Installation"
"""Java Lead""",Technology,,,,,,Personal Service
"""Need Ruby on Rails / Curam Developers""",Technology,,,,,,Transportation
"""Neo4j and Anaconda"" Consultant",,,,,,,Education & Instruction
"""ODI Programmer""",Technology,,,,,,"Safety, Security & Civil Defence"
"""Project Manager""",,,,,,,Other
"""QA Tester",,,,,,,
"""REMOTE"" Python Django Architect",Technology,,,,,,
"""senior java developer"" +15 years",Technology,,,,,,
"""Senior Tealium Developer""",Technology,,,,,,
#Programmatic Account Coordinator,,,,,,,
$120k (DOE),Other,,,,,,
$185k++ Senior Java Front End UI Engineer / Architect,Technology,,,,,,
$195k+ _ Enterprise Java / Platform Engineering Architect,Technology,,,,,,
$195k+ _ Enterprise Java Platform Engineer /Architect,Technology,,,,,,
$195k+ Front End UI Architect / Engineer,Technology,,,,,,
$70k,Other,,,,,,
$95k (DOE),Other,,,,,,
"(10+ Years) PHP Developer position at Georgetown, KY",Technology,,,,,,
(6212) application engineer,Technology,,,,,,
(6576) UX/UI product Designer,Technology,,,,,,
(Angular/ .Net),Other,,,,,,
(C++/mobile/C#) Software Engineer (RELOCATION),Technology,,,,,,
(Clearvision Must) Business Analyst or Functional Analyst,"Marketing, Advertising & Public Relations",,,,,,
(eCommerce) Project Manager,Technology,,,,,,
(FULL TIME) .NET Developer with AngularJS,Technology,,,,,,
(FULL TIME) SFDC Testing Analyst,,,,,,,
(Identity and Access Management),,,,,,,
(Junior/Mid,Other,,,,,,
(Permanent Job) Mainframe Capacity Management/planning Consultant,,,,,,,
(REMOTE) Technical Instructor,Technology,,,,,,
(Remote)Sr. Ruby on Rails Engineer,Technology,,,,,,
(Research Coordinator)Fresh Graduates#4704647,,,,,,,
"(Tivoli  Storage Manager) Backup Engineer, No corp corp",Technology,,,,,,
***Business Systems Analyst Senior***,Technology,,,,,,
***REMOTE*** Sr. Back,Other,,,,,,
**1,Other,,,,,,
